Subject_ID,Skill_Computed,Total_Time,Total_demos,Sgm_id,Sgm_Duration,Subsegments,RF_Passive,RF_Active,Var_Int_P_X,Var_Int_P_Y,Var_Int_P_Z,Var_Int_A_X,Var_Int_A_Y,Var_Int_A_Z,Stiff_P_X,Stiff_P_Y,Stiff_P_Z,Stiff_A_X,Stiff_A_Y,Stiff_A_Z,meanGQ_X,meanGQ_Y,meanGQ_Z,meanGQ_RX,meanGQ_RY,meanGQ_RZ,minGQ_X,minGQ_Y,minGQ_Z,minGQ_RX,minGQ_RY,minGQ_RZ,maxGQ_X,maxGQ_Y,maxGQ_Z,maxGQ_RX,maxGQ_RY,maxGQ_RZ,maxF_X,maxF_Y,maxF_Z,maxT_X,maxT_Y,maxT_Z
41,0,9.35,15,3,300,1,2,3,1,1,1,1,1,1,0.47863,0.67827,0.71321,0.61456,0.46687,0.58986,0.29205,1.4517,0.28536,0.42732,1.3565,1.3442,0.070726,0.097355,0.078648,0.088377,0.10014,0.61566,0.78635,1.8981,0.79597,0.80203,2.8797,2.5567,28.049,14.781,5.808,1.7555,0.047781,0.020314
44,1,7.58,20,1,99,1,2,3,1,1,1,1,1,1,0.47111,0.37652,0.51506,0.51269,0.49344,0.44266,0.40465,0.83355,0.66866,0.40668,0.026954,0.1505,0.11128,0.28527,0.23409,0.0013238,0.0012994,0.0028321,1.0168,1.5087,1.2075,1.7947,0.068661,0.67702,24.084,4.0229,8.0721,0.35166,0.061047,0.0033405
44,1,7.58,20,2,300,1,1,1,3,2,3,2,2,3,0.40673,0.39036,0.42267,0.33591,0.33719,0.44224,0.55283,0.6947,0.32929,0.43131,0.11019,0.28639,0.15775,0.18782,0.054819,0.015187,0.01042,0.019796,1.0066,1.5888,0.6548,1.0015,0.47795,0.77005,24.084,4.0229,8.0721,0.35166,0.061047,0.0033405
44,1,7.58,20,3,350,1,2,3,1,1,1,1,1,1,0.6205,0.55556,0.57579,0.54229,0.55689,0.63442,0.74283,0.68482,0.4509,0.067802,0.11168,0.47269,0.15143,0.27619,0.20283,0.0068811,0.006552,0.00182,1.3499,1.6605,0.90116,0.32147,0.76125,2.1022,24.084,4.0229,8.0721,0.35166,0.061047,0.0033405
45,1,9.45,15,1,99,1,1,1,1,1,1,1,1,1,0.43694,0.47827,0.19504,0.69996,0.59933,0.44506,0.71671,0.47526,0.36593,0.1079,0.30528,0.46339,0.33016,0.085125,0.070063,0,0,0,1.2322,1.2885,1.1315,0.56558,1.1996,1.9311,25.203,9.9818,1.0554,1.1671,0.058591,0.004226
45,1,9.45,15,2,300,1,1,1,2,3,3,3,2,3,0.5341,0.41658,0.47197,0.56657,0.29596,0.43676,0.87911,0.5491,0.53949,0.014083,0.10652,0.1573,0.37927,0.052634,0.027983,0,0,0,2.0735,0.99741,1.5148,0.080702,0.63547,0.9083,25.203,9.9818,1.0554,1.1671,0.058591,0.004226
45,1,9.45,15,3,500,1,2,3,1,1,1,1,1,1,0.51724,0.43513,0.55125,0.85244,0.48303,0.73022,0.32272,0.66519,0.50867,0.26312,0.32693,0.85239,0,0,0,1.8668e-05,8.1149e-05,0.00057596,0.71258,1.408,1.1198,1.2218,2.127,1.8003,25.203,9.9818,1.0554,1.1671,0.058591,0.004226
46,1,10.75,11,1,99,1,1,1,1,1,1,1,1,1,0.60271,0.42553,0.46926,0.60406,0.38715,0.42961,0.43435,0.72674,0.61977,0.56312,0.27046,0.61505,0.14544,0.26827,0.13123,0.014509,0.0096553,0.054797,0.92792,1.5518,1.2251,1.9982,0.92838,1.2628,31.719,21.231,1.5079,2.5527,0.115,0.018561
46,1,10.75,11,2,500,1,1,1,2,1,1,3,2,3,0.36219,0.59533,0.5139,0.48109,0.41628,0.53704,1.2484,0.90206,0.62521,0.29719,0.16128,0.39039,0.49579,0.32274,0.10295,0.017621,0.014915,0.025245,2.5051,1.6419,1.275,1.184,0.48102,1.3303,31.719,21.231,1.5079,2.5527,0.115,0.018561
46,1,10.75,11,3,400,1,1,1,1,1,1,1,1,1,0.61505,0.59688,0.61538,0.75648,0.57842,0.65951,1.1002,0.59796,0.52472,0.16702,0.13983,0.94121,0.36961,0.15033,0.20429,0.0015042,0.0089118,0.0072355,2.9117,0.99796,0.82905,1.2855,0.74511,3.3092,31.719,21.231,1.5079,2.5527,0.115,0.018561
