7	2	27	1	2	3	2	1	1	0	4	1	3	4	4	1	4	2	4	2	3	18	2	3	18	1
8	1	28	1	3	4	3	1	1	0	4	1	5	2	4	1	5	2	5	2	5	15	1	1	5	1
9	2	29	3	2	4	2	1	1	0	3	1	3	2	4	3	5	2	3	2	13	10	1	8	5	15
10	1	29	1	5	4	1	2	1	0	4	3	5	1	5	1	5	3	5	1	10	10	1	2	1	1
11	1	28	3	1	3	1	1	1	0	2	2	4	2	3	3	5	4	4	1	7	1	3	10	15	1
13	1	52	4	1	4	2	1	1	0	4	2	4	2	4	2	4	1	4	2	14	13	3	5	6	3
17	1	35	1	3	4	2	1	1	0	5	2	4	2	3	3	4	4	4	2	5	7	3	2	3	2
18	1	36	3	3	3	3	1	1	0	3	1	4	1	3	3	4	2	4	2	3	2	12	14	4	1
19	1	27	1	4	4	2	1	1	0	5	2	4	2	4	1	5	4	4	1	6	12	3	16	9	5
20	1	28	1	2	2	2	1	1	0	4	2	5	1	4	1	5	1	4	2	10	12	1	14	1	3
21	1	30	5	3	3	2	3	1	0	3	2	4	3	4	2	4	2	4	1	5	10	5	14	5	3
22	1	35	1	1	4	1	3	1	0	4	2	5	4	5	1	5	1	4	3	2	3	1	3	1	1
24	1	36	1	3	5	2	2	1	0	4	2	5	1	5	1	5	1	4	1	1	1	1	2	2	1
25	1	26	1	2	3	1	1	1	0	3	2	4	5	2	3	4	4	3	1	3	10	1	13	8	1
27	2	26	1	5	4	1	2	1	0	3	2	5	1	5	1	5	1	5	1	5	5	5	3	1	1
29	1	23	2	1	3	2	2	1	0	4	1	4	2	5	1	4	2	4	2	10	14	13	14	14	5
30	1	29	4	4	3	1	2	1	0	3	2	4	1	1	1	5	4	4	1	4	15	7	17	11	8
31	1	28	4	1	4	2	1	1	0	1	4	2	2	3	4	2	4	2	2	5	5	5	10	10	15
32	1	26	4	5	3	1	1	1	0	2	4	1	4	4	3	2	5	2	3	1	5	1	6	4	2
33	2	23	3	1	4	1	1	2	0	4	2	4	1	4	2	5	3	3	2	5	6	1	16	12	1
34	2	28	3	3	3	1	1	1	0	2	2	2	2	3	2	3	4	3	4	8	13	7	18	14	1
35	1	23	4	4	4	1	1	1	0	4	2	4	4	4	3	3	4	4	4	2	9	10	14	8	4
36	1	27	1	3	4	2	1	1	0	3	2	4	1	2	2	5	3	3	1	2	3	1	10	1	1
37	1	31	3	4	3	1	1	1	0	3	2	3	5	4	1	3	4	2	3	1	2	1	15	10	1
38	1	28	3	2	3	1	1	1	0	3	2	4	4	4	2	4	3	3	1	1	3	1	6	1	3
39	2	28	3	3	3	2	1	1	0	2	2	4	3	4	3	5	3	2	1	5	13	3	10	5	2
40	1	25	4	5	3	1	1	1	0	4	2	4	2	3	3	4	3	5	1	1	15	5	20	10	2
41	2	40	4	3	3	2	1	1	0	4	2	4	2	5	1	4	2	4	3	5	17	6	8	16	13
44	2	28	2	4	5	2	1	1	0	4	1	4	1	4	1	4	1	5	1	5	10	7	3	6	1
45	2	28	1	2	3	1	1	1	0	3	1	5	1	4	1	5	3	4	2	5	6	3	15	5	1
46	1	27	3	3	4	1	1	1	0	2	2	3	1	3	3	5	5	3	1	1	3	5	3	2	3
47	1	33	4	4	3	1	3	1	0	3	2	4	2	3	3	4	3	3	1	12	5	2	8	15	5
48	1	30	3	4	3	2	1	1	0	3	2	3	4	4	4	3	4	4	2	5	11	10	18	5	2
49	1	28	2	4	4	2	3	1	0	3	3	4	2	4	2	4	4	4	2	10	15	13	16	10	5
50	1	28	3	4	4	1	1	1	0	2	3	3	1	3	2	4	5	4	2	5	10	1	5	10	6
51	1	31	2	4	4	1	1	1	0	4	1	4	1	4	1	4	1	4	1	5	10	3	2	4	8
52	1	23	4	4	3	2	3	1	0	3	4	2	2	3	2	4	4	4	1	5	10	1	15	2	1
