07	2	3	1	2	1
07	1	1	2	2	3
08	2	4	2	1	3
08	1	5	1	1	4
09	2	2	2	1	2
09	1	4	1	1	4
10	2	5	1	1	4
10	1	5	2	1	4
11	2	4	1	1	2
11	1	4	1	1	4
13	2	4	1	1	1
13	1	5	2	1	4
17	2	3	1	2	3
17	1	5	1	1	4
18	2	3	1	2	3
18	1	3	2	1	3
19	2	2	2	2	3
19	1	4	2	1	3
20	2	3	1	2	1
20	1	5	1	1	4
21	2	4	1	1	4
21	1	5	1	1	4
22	2	3	2	2	3
22	1	4	2	1	3
24	2	1	2	2	1
24	1	2	2	1	1
25	2	3	2	2	3
25	1	5	1	1	4
27	2	4	1	1	3
27	1	4	2	1	4
29	2	2	2	1	3
29	1	4	1	1	3
30	2	5	2	1	1
30	1	4	2	1	3
31	2	4	2	1	1
31	1	3	2	1	1
32	2	3	2	1	1
32	1	4	1	1	2
33	2	3	1	1	1
33	1	4	1	1	4
34	2	2	1	1	3
34	1	4	2	1	3
35	2	3	1	1	1
35	1	4	1	1	1
36	2	2	2	2	3
36	1	3	2	1	3
37	2	5	2	1	4
37	1	5	2	1	4
38	2	2	2	2	2
38	1	4	1	1	4
39	2	3	1	1	3
39	1	4	1	1	4
40	2	3	2	1	1
40	1	3	2	1	3
41	2	4	2	1	1
41	1	4	1	1	4
44	2	3	2	1	2
44	1	5	2	1	4
45	2	4	1	1	2
45	1	5	1	1	4
46	2	4	1	1	2
46	1	4	1	1	4
47	2	2	2	2	3
47	1	3	2	1	2
48	2	3	2	1	4
48	1	5	1	1	4
49	2	4	2	1	4
49	1	5	2	1	4
50	2	5	2	1	4
50	1	4	2	1	4
51	2	5	1	1	4
51	1	5	1	1	4
52	2	4	1	1	1
52	1	5	2	1	4
